Location,City,Date/Time,Parameter,Value,LAT,LON
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:30:00.000Z,no2,56.5,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:30:00.000Z,so2,22.28,22.627875,88.3804
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:30:00.000Z,pm25,14.43,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:30:00.000Z,pm10,51.64,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:30:00.000Z,o3,16.82,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:30:00.000Z,co,480,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:30:00.000Z,so2,9.35,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:30:00.000Z,no2,21.36,19.041847,72.865513
NSIT Dwarka,Delhi,2017-06-22T18:30:00.000Z,pm25,152,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:30:00.000Z,o3,7.5,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:30:00.000Z,so2,12.7,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:30:00.000Z,co,700,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:30:00.000Z,no2,10.2,28.591,77.05
IIT,Chennai,2017-06-22T18:30:00.000Z,pm25,16.17,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:30:00.000Z,o3,17.9,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:30:00.000Z,so2,3.52,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:30:00.000Z,co,380,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:30:00.000Z,no2,19.34,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T18:15:00.000Z,o3,4.4,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:15:00.000Z,so2,13.1,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:15:00.000Z,co,700,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:15:00.000Z,no2,86.4,28.591,77.05
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:15:00.000Z,pm25,27.18,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:15:00.000Z,pm10,62.15,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:15:00.000Z,o3,14.83,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:15:00.000Z,co,930,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:15:00.000Z,so2,12.59,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:15:00.000Z,no2,38.56,19.041847,72.865513
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:00:00.000Z,pm10,116.1,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:00:00.000Z,o3,6.63,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:00:00.000Z,co,540,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:00:00.000Z,so2,27.02,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:00:00.000Z,no2,31.6,22.627875,88.3804
IIT,Chennai,2017-06-22T18:00:00.000Z,pm25,27.41,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:00:00.000Z,o3,12.93,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:00:00.000Z,co,370,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:00:00.000Z,so2,3.54,12.99251389,80.23744722
IIT,Chennai,2017-06-22T18:00:00.000Z,no2,21.34,12.99251389,80.23744722
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:00:00.000Z,pm25,28.07,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:00:00.000Z,pm10,73.4,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:00:00.000Z,o3,14.48,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:00:00.000Z,co,1120,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:00:00.000Z,so2,13.79,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:00:00.000Z,no2,47.61,19.041847,72.865513
NSIT Dwarka,Delhi,2017-06-22T18:00:00.000Z,o3,4.1,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:00:00.000Z,co,730,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:00:00.000Z,so2,13.4,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:00:00.000Z,no2,94.8,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T17:45:00.000Z,pm25,661.4,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T17:45:00.000Z,o3,3.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T17:45:00.000Z,no2,57.1,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T17:45:00.000Z,so2,13.5,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T17:45:00.000Z,co,810,28.591,77.05
