,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
61,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:45:00.000Z,2020-06-22T23:15:00+05:30,o3,13.01,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
62,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:45:00.000Z,2020-06-22T23:15:00+05:30,so2,5.4,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
63,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:45:00.000Z,2020-06-22T23:15:00+05:30,no2,4.7,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
64,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:45:00.000Z,2020-06-22T23:15:00+05:30,pm10,36.8,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
65,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:45:00.000Z,2020-06-22T23:15:00+05:30,pm25,17.9,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
66,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:15:00.000Z,2020-06-22T22:45:00+05:30,co,290.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
67,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:15:00.000Z,2020-06-22T22:45:00+05:30,so2,4.5,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
68,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:15:00.000Z,2020-06-22T22:45:00+05:30,o3,12.66,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
69,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:15:00.000Z,2020-06-22T22:45:00+05:30,pm25,18.3,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
70,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:15:00.000Z,2020-06-22T22:45:00+05:30,no2,4.3,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
71,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:15:00.000Z,2020-06-22T22:45:00+05:30,pm10,40.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
72,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T16:30:00.000Z,2020-06-22T22:00:00+05:30,pm25,19.1,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
73,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T16:30:00.000Z,2020-06-22T22:00:00+05:30,co,300.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
